order_id,product_id,quantity,unit_price,sales,average_selling_price,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level
1961864118,642612,3,517.03,1551.09,517.03,Pet Treats,Pet Care,Pillay-Ahuja,517.03,795.43,35.0,365,16,57
1549769649,378676,1,881.42,881.42,881.42,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,881.42,1259.17,30.0,180,19,65
9185164487,741341,2,923.84,1847.68,923.84,Eggs,Dairy & Breakfast,Prasad Llc,923.84,1154.8,20.0,7,13,62
9644738826,561860,1,874.78,874.78,874.78,Orange Juice,Cold Drinks & Juices,Gupta Ltd,874.78,1249.69,30.0,180,21,90
5427684290,602241,2,976.55,1953.1,976.55,Nuts,Snacks & Munchies,Bahl-Pau,976.55,1502.38,35.0,90,12,75
3265154092,681063,1,321.28,321.28,321.28,Mango Drink,Cold Drinks & Juices,Dass And Sons,321.28,458.97,30.0,180,20,91
4898355547,56589,3,517.77,1553.31,517.77,Vitamins,Pharmacy,"Pai, Kashyap And Ramachandran",517.77,647.21,20.0,365,16,85
6568151549,500739,2,359.98,719.96,359.98,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,18,81
6006693867,490939,1,80.25,80.25,80.25,Lotion,Personal Care,"Roy, Barad And De",80.25,123.46,35.0,365,12,67
374186990,760828,2,563.45,1126.9,563.45,Pet Treats,Pet Care,"Khurana, Khosla And Yohannan",563.45,866.85,35.0,365,23,93
4455336265,753354,3,423.56,1270.68,423.56,Shampoo,Personal Care,Sant-Mahajan,423.56,651.63,35.0,365,20,52
3539286337,684939,1,727.95,727.95,727.95,Lotion,Personal Care,"Sibal, Bhatnagar And Rajan",727.95,1119.92,35.0,365,22,50
9171116867,500739,3,359.98,1079.94,359.98,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,18,81
5504941865,540618,1,317.05,317.05,317.05,Popcorn,Snacks & Munchies,Golla-Luthra,317.05,487.77,35.0,90,28,87
5868326481,53833,3,134.69,404.07,134.69,Rice,Grocery & Staples,Tella-Master,134.69,158.46,15.0,365,26,89
2137046916,455755,2,44.09,88.18,44.09,Detergent,Household Care,Mangal-Sathe,44.09,58.79,25.0,365,23,53
8195544338,131937,1,287.81,287.81,287.81,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi And Ganguly",287.81,479.68,40.0,180,18,68
2889700050,798639,1,211.25,211.25,211.25,Eggs,Dairy & Breakfast,Subramaniam Llc,211.25,264.06,20.0,7,12,78
65827885,324809,3,608.0,1824.0,608.0,Bread,Dairy & Breakfast,Sidhu Plc,608.0,760.0,20.0,7,26,76
4656471694,679284,1,877.89,877.89,877.89,Cough Syrup,Pharmacy,Pant Llc,877.89,1097.36,20.0,365,28,95
6625178717,952168,3,236.95,710.8499999999999,236.94999999999996,Popcorn,Snacks & Munchies,"Krishnamurthy, Sibal And Das",236.95,364.54,35.0,90,28,79
7169557514,706112,2,478.79,957.58,478.79,Vitamins,Pharmacy,"Magar, Gara And Garg",478.79,598.49,20.0,365,12,77
2268306684,812607,2,416.65,833.3,416.65,Potatoes,Fruits & Vegetables,Rege Group,416.65,555.53,25.0,3,11,63
6905293278,799952,1,922.64,922.64,922.64,Cheese,Dairy & Breakfast,Padmanabhan-Virk,922.64,1153.3,20.0,7,13,66
1769493463,709916,3,33.76,101.28,33.76,Detergent,Household Care,Varkey Llc,33.76,45.01,25.0,365,30,88
5003387344,67197,3,552.2,1656.6000000000001,552.2,Butter,Dairy & Breakfast,Shetty-Bora,552.2,690.25,20.0,7,20,79
